seed_bank,breeder_name,seed_type,growth_type,source_url,extraction_methods_used,scraped_at,about_info,genetics,strain_name,availability,data_completeness_score,quality_tier,breeding_notes,awards,plant_height,yield,aroma_flavour,effects,medicinal_effect,grow_difficulty,growth_odour,indica_sativa
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/plum-sundae,"['description', 'patterns', 'fallback']",2026-01-10T22:36:24.619984,"A fruit salad haze with a heavy whipped cream topping. We hope for some colouration to shine through with this girl, strong in the growth cycle and packing on weight throughout. A heady, lasting high that will gradually settle and mellow into the body.","es, we've paired our Pigletta’s Purple Haze with some of the finest pollen donors from the Mephisto collection",Plum Sundae,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/playground-potion,"['description', 'patterns', 'fallback']",2026-01-10T22:36:24.941022,"This balanced beauty pairs Aunt Ginny’s Elixir (CBD-rich and serene) with the nostalgic cherry sweetness of School Yard Crush. Playground Potion is expected to carry a 1:1 CBD ratio with a gentle 45/55 lean, offering mellow body effects with just enough sparkle up top. A go-to for all-day calm and focus, with playful f","ed Limited Editions, using all CBD variants of our Medicinal line strains crossed with some of the freshest, frostiest Artisanals that we’ve added to the catalogue over the last year",Playground Potion,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/plant-tag-bundle,"['patterns', 'fallback']",2026-01-10T22:36:25.263173,"A bundle pack of 10 of our brand new plant tags, featuring 2 different designs. Designs may vary from those shown.",,Plant Tag Bundle,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/pinkmans-punnet,"['description', 'patterns', 'fallback']",2026-01-10T22:36:25.636971,"Initially earmarked to be part of our third drop of our new format Limited Editions, Pinkman’s Punnet is finally on the menu! Walter White Bx1 isn’t our first backcross; with our Artisanals line we put in the work and take things to a level that not many others do. As with our Livers BX1 project which took 12 generatio",; with our Artisanals line we put in the work and take things to a level that not many others do,Pinkmans Punnet,SoldOut,42.9,Medium,"to get to the point of release; our Walter White BX1 has been a labour of love, beginning the second outcross to our cut of Krome’s ‘The White’ in 2018",,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/pin-badges,"['patterns', 'fallback']",2026-01-10T22:36:25.993357,"Brand new Mephisto pin badges, available for the first time in the UK! Choose from one of 7 designs, including our classic Marley and a brand new take on the Mephisto Piggy. Pin badges measure roughly 35-40mm and are dual butterfly clasp designs.",,Pin Badges,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/piglettas-purple-potion,"['description', 'patterns', 'fallback']",2026-01-10T22:36:26.318902,"A mash-up of Pigletta’s Purple Haze and Canna-Cheese, Pigletta’s Purple Potion offers an expected 1:1 CBD ratio in a 35/65 indica-dominant package. Expect heady and energetic effects wrapped in a velvety cloud of berry, spice, and that signature cheesy depth. Perfect for a daytime medicinal pick-me-up or creative conte","ed Limited Editions, using all CBD variants of our Medicinal line strains crossed with some of the freshest, frostiest Artisanals that we’ve added to the catalogue over the last year",Piglettas Purple Potion,SoldOut,42.9,Medium,,,,,,,,,,65
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/piggy-parmesan,"['description', 'patterns', 'fallback']",2026-01-10T22:36:26.731560,"Cheese on cheese, like a French dreamscape (even though we all know, deep down, English cheese is the best). A pungent strain with dense buds, a little height to her and cheese-heavy smoke.","es, we've paired our Pigletta’s Purple Haze with some of the finest pollen donors from the Mephisto collection",Piggy Parmesan,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/pearl-drops,"['description', 'patterns', 'fallback']",2026-01-10T22:36:27.151635,Introducing our third drop of our new format Limited Editions! Walter White Bx1 isn’t our first backcross; with our Artisanals line we put in the work and take things to a level that not many others do. As with our Livers BX1 project which took 12 generations of breeding to get to the point of release; our Walter White,; with our Artisanals line we put in the work and take things to a level that not many others do,Pearl Drops,SoldOut,42.9,Medium,"to get to the point of release; our Walter White BX1 has been a labour of love, beginning the second outcross to our cut of Krome’s ‘The White’ in 2018",,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/orwellian-wedding,"['description', 'patterns', 'fallback']",2026-01-10T22:36:27.537831,"Expect a shorter varietal but a thorough-bred heavy weight, with nuggetry packing on size through the grow, almost like a mini-UberReem. Complex gassy notes are expected to dominate, with a myriad of other flavour spikes coming and going on the smoke.","es, we've paired our Pigletta’s Purple Haze with some of the finest pollen donors from the Mephisto collection",Orwellian Wedding,SoldOut,42.9,Medium,"heavy weight, with nuggetry packing on size through the grow, almost like a mini-UberReem",,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/orangeoz,"['description', 'patterns', 'fallback']",2026-01-10T22:36:27.889576,"Orange O'z brings the citrus-haze goodness of Super Orange Haze to the frosty, potent MephistO'z. This strain offers a vibrant orange aroma and a powerful, uplifting high, making it a good choice for daytime use.",is all about: turning legendary photoperiod cuts into the absolute best autoflowering strains available on the market today,Orangeoz,SoldOut,42.9,Medium,,,,,,,,,,
