strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,flowering_time_days_clean,height_indoor_cm_clean,height_outdoor_cm_clean,yield_indoor_g_m2_clean,yield_outdoor_g_plant_clean,total_grow_time_days_clean,ruderalis_percentage_clean,filial_type_clean,breeding_status_clean,strain_name_normalized,aka_names_clean,strain_name_no_aka,similar_spelling_clean,is_autoflower_clean,autoflower_seed_to_harvest_days_min_clean,autoflower_seed_to_harvest_days_max_clean,strain_name_extracted
cb4ad5ec-6c0d-4244-9387-7c233dea770b,herbies,Purple Og Punch Super Sativa Seed Club,,,20,,,,,,,,,happy,berry,,,,Larry OG x Granddaddy Purple   Show all Show less     Purple OG Punch Strain Reviews     No reviews,,,,80,,html/179918b58248597d.html,20,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/purple-og-punch-super-sativa-seed-club,"Outdoor, Indoor",,,20,,,,,2,,56,,,,,,,,Hybrid,purple og punch super sativa seed club,,Purple Og Punch Super Sativa Seed Club,purpleogpunchsupersativaseedclub,FALSE,,,Purple Og Punch
03da304a-e9e4-4215-b86e-be10fe32d0ed,herbies,Original Auto Cheese Fastbuds,,,97.71,,,,,,,,,happy,sweet,,,,Cheese Autoflowering   Show all Show less     Original Auto Cheese Strain Reviews    4.9   11 review,43.3,43.3,,70,,html/1838a1fbe655de4f.html,30,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/original-auto-cheese-fastbuds,"Outdoor, Indoor",,,97.71,,,,63 days,1.8,5.3,,,,,,63,,,,original auto cheese fastbuds,,Original Auto Cheese Fastbuds,originalautocheesefastbuds,TRUE,,,Original Cheese
ac6415ab-c30f-4a66-a074-193d47c073cd,herbies,Silver Surfer Haze Blimburn Seeds,,,98.96,,,,,,,,,euphoric,sweet,,,,Haze x Skunk x Northern Lights   Show all Show less     Silver Surfer Haze Strain Reviews     No rev,,,,,,html/18db39471bab14bf.html,,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/silver-surfer-haze-blimburn-seeds,"Outdoor, Indoor",,,98.96,,,,,2.3,35.3,80,,,,,,,,Hybrid,silver surfer haze blimburn seeds,,Silver Surfer Haze Blimburn Seeds,silversurferhazeblimburnseeds,FALSE,,,Silver Surfer Haze
2fd5a9a7-4b7f-4cee-8d61-56997d67d12c,herbies,Punch Cookies,,,99.34,,,,,,,,,happy,sweet,,,,Purple Punch x (Totally Alpha OG S1 ÃÂ F1 Durban Poison S1 IBL)   Show all Show less     Punch Cookie,59.1,59.1,,,,html/19ed06ae649dbca9.html,,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/punch-cookies,"Outdoor, Indoor",,,99.34,,,,,1.8,21.2,70,,,,,,,,IBL,punch cookies,,Punch Cookies,punchcookies,FALSE,,,Punch Cookies
7d09213d-d41e-43f6-9b6c-848b73b03835,herbies,Chemdog,2 nd IC-420 Growers Cup 2008,,96.74,,,,,,,,,relaxed,citrus,,,,OG Kush x Sour Diesel     Awards   2 nd IC-420 Growers Cup 2008   Show all Show less     Chemdog Str,,,,70,,html/19f1a96f9dd54100.html,30,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/chemdog,"Outdoor, Indoor",,,96.74,,,,,2.6,35.3,,,,,,,,,Hybrid,chemdog,,Chemdog,chemdog,FALSE,,,Chemdog
4fac2263-78eb-404a-9235-39b5e90d9598,herbies,Glue Gelato Auto,,,98.39,,,,,,,,,happy,sweet,,,,GG#4 Original Glue x Gelato x BF Super Auto #1   Show all Show less     Glue Gelato Auto Strain Revi,47.2,47.2,,60,,html/19fb5c7993a6fc2e.html,40,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/glue-gelato-auto,"Outdoor, Indoor",,,98.39,,,,65 - 70 days,2,21.2,,,,,,70,,,Hybrid,glue gelato auto,,Glue Gelato Auto,gluegelatoauto,TRUE,70,70,Glue Gelato
9623fd9e-3f12-42be-9a19-b83f6d2fc059,herbies,Gg 4 Original Glue Fast Version,,,99.13,,,,,,,,,happy,pine,,,,GG#4 Original Glue   Show all Show less     GG#4 Original Glue Fast Version Strain Reviews    5.0,47.2,47.2,,,,html/1a4a482c8f41db37.html,,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/gg-4-original-glue-fast-version,"Outdoor, Indoor",,,99.13,,,,,2.1,24.7,,,,,,,,,,gg 4 original glue fast version,,Gg 4 Original Glue Fast Version,gg4originalgluefastversion,FALSE,,,Gg 4 Original Glue
bf10c241-21e8-49dd-951a-3af90d3d8d80,herbies,Himalaya Gold,1st Bio HTCC 1997,,96.74,,,,0.07%,,,,,creative,,,,,Nepalese x North Indian     Awards   1st Bio HTCC 1997   Show all Show less     Himalaya Gold Strain,,,,70,,html/1a9f8dcc7ee6c633.html,30,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/himalaya-gold,"Outdoor, Indoor",,,96.74,,,,,2.8,47.6,,,,,,,,,Hybrid,himalaya gold,,Himalaya Gold,himalayagold,FALSE,,,Himalaya Gold
1938bcd7-d4d6-4707-b6d7-051d1f87d1eb,herbies,Kush Mints Herbies Seeds Usa,,,98.29,,,,,,,,,uplifting,sweet,,,,Animal Mints x Bubba Kush   Show all Show less     Kush Mints Strain Reviews    5.0   11 reviews,59.1,59.1,,,,html/1b338bb1adc7320a.html,,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/kush-mints-herbies-seeds-usa,"Outdoor, Indoor",,,98.29,,,,,2.3,8.8,65,,,,,,,,Hybrid,kush mints herbies seeds usa,,Kush Mints Herbies Seeds Usa,kushmintsherbiesseedsusa,FALSE,,,Kush Mints
09c491c9-7c06-4075-87d4-c31fa472b529,herbies,Lemon Haze Fast Version Herbies Seeds Usa,,,98.29,,,,,,,,,,sweet,,,,Silver Haze x Lemon Skunk Fast Version   Show all Show less     Lemon Haze Fast Version Strain Revie,43.3,43.3,,,,html/1b86f9e044f4cb9f.html,,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/lemon-haze-fast-version-herbies-seeds-usa,"Outdoor, Indoor",,,98.29,,,,,2.3,30,70,,,,,,,,Hybrid,lemon haze fast version herbies seeds usa,,Lemon Haze Fast Version Herbies Seeds Usa,lemonhazefastversionherbiesseedsusa,FALSE,,,Lemon Haze Fast
