source_url,strain_name,strain_id,breeder_name,bank_name
https://www.seedsman.com/us-en/skywalker-og-auto-feminised-seeds-bfs-skyog-auto-fem,Skywalker OG Auto,12595,Seedsman,Seedsman
https://multiversebeans.com/product/dutch-passion-skywalker-haze-auto-fem/,Skywalker Haze Auto,12584,Dutch Passion,Multiverse Beans
https://multiversebeans.com/product/mephisto-genetics-skystomper-2-0-strain-auto-fem-3-pack/,Skystomper 2.0 Auto,12567,Mephisto Genetics,Multiverse Beans
https://multiversebeans.com/product/mephisto-genetics-skylar-white-auto-fem-3-pack/,Skylar White Auto,12563,Mephisto Genetics,Multiverse Beans
https://multiversebeans.com/product/ethos-genetics-skunk-hero-rBX1-strain-fem-photo/,Skunk Hero RBX1,12536,Ethos Genetics,Multiverse Beans
https://multiversebeans.com/product/fast-buds-original-skunk-strain-auto-fem/,Skunk Auto,12521,Fast Buds,Multiverse Beans
https://www.seedsman.com/us-en/sensi-skunk-auto-feminised-seeds-sen-snsk-auto,Skunk Auto,12522,Seedsman,Seedsman
https://www.seedsman.com/us-en/skunk-#1-feminized-seeds-bfs-sku1-fem,Skunk,12502,Seedsman,Seedsman
https://multiversebeans.com/product/trident-seeds-siliguri-brain-lock-strain-reg-photo-copy/,Siliguri Brain Lock Copy,12406,Trident Seeds,Multiverse Beans
https://multiversebeans.com/product/silent-pulse-multiverse-genetics-fem-photo/,Silent Pulse Multiverse,12405,Multiverse Genetics,Multiverse Beans
https://multiversebeans.com/product/royal-queen-seeds-shogun-strain-fem-photo/,Shogun,12380,Royal Queen Seeds,Multiverse Beans
https://multiversebeans.com/product/canuk-seeds-shiskaberry-strain-fem-photo/,Shiskaberry,12367,Canuk Seeds,Multiverse Beans
https://multiversebeans.com/product/royal-queen-seeds-shining-silver-haze-strain-fem-photo/,Shining Silver Haze,12359,Royal Queen Seeds,Multiverse Beans
https://multiversebeans.com/product/royal-queen-seeds-sherbet-queen-automatic-strain-auto-fem/,Sherbet Queen Auto,12342,Royal Queen Seeds,Multiverse Beans
https://multiversebeans.com/product/royal-queen-seeds-sherbet-queen-strain-fem-photo/,Sherbet Queen,12339,Royal Queen Seeds,Multiverse Beans
https://multiversebeans.com/product/elev8-seeds-sherbet-punch-strain-fem-photo-6-pack/,Sherbet Punch,12336,Elev8 Seeds,Multiverse Beans
https://multiversebeans.com/product/seed-stockers-sherbet-strain-fem-photo/,Sherbet,12331,Seed Stockers,Multiverse Beans
https://www.northatlanticseed.com/product/sherb-cake-x-trop-cookies-r/,Sherb Cake X Trop Cookies,12313,Tiki Madman,North Atlantic Seed Company
https://multiversebeans.com/product/shardz-s1-span-lion-genetics-photoperiod-cannabis-seeds-female/,Shardz,12290,Span Lion Genetics,Multiverse Beans
https://multiversebeans.com/product/elev8-seeds-shadow-og-strain-fem-auto-6-pack/,Shadow OG Auto,12279,Elev8 Seeds,Multiverse Beans
https://multiversebeans.com/product/mosca-seeds-sexyy-strain-fem-photo-6-pack/,Sexyy,12269,Mosca Seeds,Multiverse Beans
https://www.seedsman.com/us-en/sexyy-feminized-seeds-mosca-sexy-fem,Sexyy,12270,Seedsman,Seedsman
https://www.northatlanticseed.com/product/sex-on-the-beach-r/,Sex On The Beach,12264,Tiki Madman,North Atlantic Seed Company
https://www.seedsman.com/us-en/serious-6-regular-seeds-11-srssm-010,Serious,12259,Seedsman,Seedsman
https://multiversebeans.com/product/mosca-seeds-sello-strain-fem-photo-6-pack/,Sello,12246,Mosca Seeds,Multiverse Beans
https://multiversebeans.com/product/mephisto-genetics-screwball-ice-cream-auto-fem-5-pack/,Screwball Ice Cream Auto,12230,Mephisto Genetics,Multiverse Beans
https://multiversebeans.com/product/scrambler-haze-blimburn-seeds/,Scrambler Haze,12223,Blimburn Seeds,Multiverse Beans
https://multiversebeans.com/product/night-owl-seeds-scoopski-f2-f2-strain-auto-fem-3/,Scoopski Auto,12215,Night Owl Seeds,Multiverse Beans
