strain_id,thc_raw,yield_raw,flowering_raw,thc_min,thc_max,thc_avg,cbd_min,cbd_max,cbd_avg,flowering_days_min,flowering_days_max,flowering_days_avg,height_indoor_cm_min,height_indoor_cm_max,height_outdoor_cm_min,height_outdoor_cm_max,yield_indoor_g_m2_min,yield_indoor_g_m2_max,yield_outdoor_g_plant_min,yield_outdoor_g_plant_max,yield_indoor_raw,yield_outdoor_raw,flowering_time_raw,outdoor_harvest_raw,height_indoor_raw,height_outdoor_raw,cbd_raw,genetics_raw,category_type_raw,harvest_time_raw,terpenes_raw,height_raw,lineage_raw,seed_type_raw,growth_type_raw,strain_type_raw,terpene_profile_raw,flavor_profile_raw
112d0965-6011-42e6-8f81-fc96d17d20a4,Up to 24%,Average,Fast (6-10 weeks),24,24,24,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
152512d5-9346-4650-b294-4de7cd9cc67a,Up to 22%,High,Fast (6-10 weeks),22,22,22,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
15817540-7a3c-40f6-8fec-cbfba7db568a,Up to 15%,,Fast (6-10 weeks),15,15,15,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
15ebe342-0c62-48b7-96ee-df8d2118c1b2,Up to 25%,High,Fast (6-10 weeks),25,25,25,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
176b303a-cb36-4b1d-b833-0b875a00a047,Up to 21%,High,Fast (6-10 weeks),21,21,21,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
196073b3-5614-4897-be35-7736b7b6095e,Up to 25%,Average,Fast (6-10 weeks),25,25,25,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
198f29fa-2d88-4045-9e48-f43c01a6380c,Up to 28%,Extreme,Average (8-12 weeks),28,28,28,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
1c7cc090-08ec-4fcf-8f7f-3a069f2660a1,Up to 23%,High,Average (8-12 weeks),23,23,23,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
1db2d6cf-4a1d-494e-b73d-c55f8cce5953,Up to 20%,Average,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
2169b4e3-ad24-4d7e-8bec-828b7107f8c2,Up to 26%,Extreme,Fast (6-10 weeks),26,26,26,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
21b94e28-431f-49cc-b09c-cf980237ead7,Up to 20%,High,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
22b5a3c3-51de-47dd-a7c2-d29c0b23acac,Up to 24%,Extreme,Fast (6-10 weeks),24,24,24,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
2457e61c-08d8-4ad4-b4d1-64d9d30fa2c4,Up to 20%,,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
25ddb5ab-7d8e-403d-a246-484bef77b9cb,Up to 26%,Average,Fast (6-10 weeks),26,26,26,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
26145efb-1640-4bdb-8c96-cd7e597a65cd,Up to 16%,Average,Fast (6-10 weeks),16,16,16,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
26ba2b66-c421-4087-b84e-44a0378936dc,Up to 23%,Average,Fast (6-10 weeks),23,23,23,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
27370dc6-f0c3-4c48-81bd-54f10597de37,Up to 19%,Average,Fast (6-10 weeks),19,19,19,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
2b3c9034-1d2f-46b2-bc47-876f1b62b425,Up to 18%,High,Fast (6-10 weeks),18,18,18,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
2d5f7e19-0796-4665-bdf1-c062bbc6ab15,Up to 20%,Average,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
2ed40b3a-1206-47dc-8bcf-0b8035adcb5e,Up to 22%,High,Fast (6-10 weeks),22,22,22,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
30576088-2a6b-44ab-90aa-9fdcaa876bc3,Up to 20%,Average,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
30e42782-5fa9-4b86-be26-9450b45a58a4,Up to 23%,High,Fast (6-10 weeks),23,23,23,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
3332d44d-6ea0-4530-bcfa-81d7aefac74c,Up to 23%,High,Fast (6-10 weeks),23,23,23,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
34b7f2e0-2e31-4072-a7ec-12930f68f2f1,Up to 20%,Average,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
376b9cd6-8705-45c7-b451-41d4a4d0b20c,Up to 15%,Average,Fast (6-10 weeks),15,15,15,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
37880155-e685-48ba-9afe-a97dbc67110a,Up to 23%,High,Fast (6-10 weeks),23,23,23,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
397b7a1f-ae5e-4906-964f-8b7834f951e7,Up to 28%,High,,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a2b62f3-3337-427f-b8c1-769d899b0ebc,Up to 25%,High,Fast (6-10 weeks),25,25,25,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbb680c-3738-40cd-8e03-a6ae3db7eb18,Up to 20%,Average,Average (8-12 weeks),20,20,20,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
3c162560-19ff-47d7-a077-de43c5fbec68,Up to 21%,High,Average (8-12 weeks),21,21,21,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
3dc10e56-32fd-4a48-9aa6-2f65939d2b45,Up to 23%,Average,Fast (6-10 weeks),23,23,23,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
3e127278-a316-45e4-908c-a0c31c1b8b46,Up to 25%,Extreme,Fast (6-10 weeks),25,25,25,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
3f0dd21c-3079-4cac-a29e-60a4cd6115f3,Up to 21%,High,Fast (6-10 weeks),21,21,21,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
427db77f-4936-4cf5-98e6-fa5ee37ef476,Up to 15%,Average,Fast (6-10 weeks),15,15,15,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
4298bd3b-7fc4-4567-9e35-2d0d45a9b2fc,Up to 20%,High,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
43a859ef-3629-4b4a-8aae-0ffa232fb05b,Up to 0.2%,Average,Long (10-16 weeks),0.2,0.2,0.2,,,,70,112,91,,,,,,,,,,,,,,,,,,,,,,,,,,
4459ecfb-4dbd-40f3-ba69-f89812569721,Up to 20%,Average,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
4574d6bb-1230-4058-b7d7-9b9a7e071dfb,,,Average (8-12 weeks),,,,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
47bb21cd-28fc-4c96-bec4-46a5890d8d23,Up to 19%,High,Fast (6-10 weeks),19,19,19,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
47e6f0a1-a82e-46fc-a1db-76baca3b44ce,Up to 10%,High,Fast (6-10 weeks),10,10,10,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
48d8fbe0-e732-40ef-92d2-79cb0a9221a4,Up to 21%,Average,Fast (6-10 weeks),21,21,21,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
4972375a-ed0f-41e2-bdce-16ef90193e00,Up to 21%,Extreme,Fast (6-10 weeks),21,21,21,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
4c5d9d66-1524-4f12-9163-c6902a702965,Up to 25%,Average,Fast (6-10 weeks),25,25,25,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
4d00daab-0dfa-46a0-9be9-a5f9b06e6628,Up to 26%,High,Fast (6-10 weeks),26,26,26,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
4e4d1b23-c539-4ca9-afa3-2747260c5b08,Up to 18%,High,Fast (6-10 weeks),18,18,18,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
52088343-d0da-4435-bd29-8b01b71968f4,Up to 28%,,Fast (6-10 weeks),28,28,28,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
561d83e9-d663-437c-88fe-65c67b19db40,Up to 17%,High,Average (8-12 weeks),17,17,17,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5f92f954-80ad-4669-bd01-dca7f3027860,Up to 25%,,Average (8-12 weeks),25,25,25,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
62cd1ba9-f09b-46d4-9920-823ea2a39e7b,Up to 15%,High,Fast (6-10 weeks),15,15,15,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
67970273-ba52-4fbb-bfde-6ce8e7a29800,Up to 20%,Average,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
69cd5ea0-d416-464a-b4fe-4abfb7617493,Up to 24%,High,Fast (6-10 weeks),24,24,24,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
69f4e0b1-513e-446c-9425-8b6523005051,Up to 25%,High,Fast (6-10 weeks),25,25,25,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
6ad5fe66-4805-492a-ae0b-6b38c89557d1,Up to 22%,Average,Fast (6-10 weeks),22,22,22,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
6bade670-b355-4c20-b181-28a5aa259043,Up to 20%,Average,Average (8-12 weeks),20,20,20,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
7357ab05-c17c-43b4-97ea-430a79c12756,Up to 20%,High,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
779815e9-1ca9-4b1a-97e9-8d89999940cd,Up to 20%,High,Average (8-12 weeks),20,20,20,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
785c5df5-5e96-432b-bd66-50237fc680d7,Up to 21%,High,Average (8-12 weeks),21,21,21,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
