strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,flowering_time_days_clean,height_indoor_cm_clean,height_outdoor_cm_clean,yield_indoor_g_m2_clean,yield_outdoor_g_plant_clean,total_grow_time_days_clean,ruderalis_percentage_clean,filial_type_clean,breeding_status_clean,strain_name_normalized,aka_names_clean,strain_name_no_aka,similar_spelling_clean,is_autoflower_clean,autoflower_seed_to_harvest_days_min_clean,autoflower_seed_to_harvest_days_max_clean,strain_name_extracted,strain_name_base,generation_extracted,phenotype_marker_extracted,strain_name_validated,breeder_validated,validation_confidence,validation_reasoning,validation_changes,flagged_for_review,validation_attempted,strain_name_aka_manual,strain_name_manual,breeder_manual,manual_notes,breeder_source,strain_source,breeder_display,breeder_slug,strain_name_display,strain_name_slug,generation_clean,filial_generation,selfed_generation,backcross_generation,parent_1_display,parent_2_display,parent_1_is_hybrid,parent_2_is_hybrid,has_nested_cross,parent_1_slug,parent_2_slug,grandparent_1_display,grandparent_2_display,grandparent_3_display,grandparent_1_slug,grandparent_2_slug,grandparent_3_slug,lineage_formula,lineage_depth
9a5bfdcb-8bcd-4d40-a742-481d66ec44f9,attitude,Archive,,,,,,,,,Zero OG cannabis seeds are now in stock at The Attitude Seedbank. Visit our website or call to get the complete range of exceptional genetics from Archive Seeds.,,,,,,,,Cannabiogen Seeds,,,,,False,html/e8432d05a69e84ae.html,,2026-01-14T10:40:01.825264,,https://www.cannabis-seeds-bank.co.uk/archive-seeds-zero-og/prod_4571,,,,,,,,,,,,,,,,,,,,archive,,Archive,archive,False,,,Zero Og,Zero Og,,,Zero Og,Unknown,0.0,,,False,False,,,,,Unknown,Zero Og,Unknown,unknown,Zero Og,zero-og,,,,,,,False,False,False,,,,,,,,,,1
f2b3d572-0fca-4f75-bc67-a5bc4db0b186,attitude,The World's Largest,,,,,,,,,T H Seeds Zero Gravity is available at the Attitude Seedbank. Visit our site to buy the full range available from TH Seeds. Discreet and secure worldwide shipping.,,,,,,,,Cannabiogen Seeds,,,,,False,html/25c4b3938a9fb87f.html,,2026-01-14T10:40:02.037156,,https://www.cannabis-seeds-bank.co.uk/t-h-seeds-zero-gravity/prod_1426,,,,,,,,,,,,,,,,,,,,the world's largest,,The World's Largest,theworldslargest,False,,,T H Seeds Zero Gravity,T H Seeds Zero Gravity,,,T H Seeds Zero Gravity,Unknown,0.0,,,False,False,,,,,Unknown,T H Seeds Zero Gravity,Unknown,unknown,T H Seeds Zero Gravity,t-h-seeds-zero-gravity,,,,,,,False,False,False,,,,,,,,,,1
a0b95412-0b12-4d88-8f95-54df88972f95,attitude,Advanced,,,,,,,,,Our fantastic range of feminised marijuana seeds from Advanced Seeds is a must. Shop for AUTO Zerealz Milk at Attitude Seedbank UK.,,,,,,,,Cannabiogen Seeds,75-90 cm,,,,False,html/cdbd5baaf061ffce.html,,2026-01-14T10:40:02.259745,,https://www.cannabis-seeds-bank.co.uk/advanced-seeds-auto-zerealz-milk/prod_9199,,,,26.0,26.0,26.0,,,,,,90.0,,,,,,,,advanced,,Advanced,advanced,True,,,Auto Zerealz Milk,Auto Zerealz Milk,,,Auto Zerealz Milk,Unknown,0.0,,,False,False,,,,,Unknown,Auto Zerealz Milk,Unknown,unknown,Auto Zerealz Milk,auto-zerealz-milk,,,,,,,False,False,False,,,,,,,,,,1
53b28107-8da4-46ad-a81a-8c63876eca19,attitude,Advanced,,,,,,,,,Our fantastic range of feminised marijuana seeds from Advanced Seeds is a must. Shop for Zerealz Milk cananbis seeds at Attitude Seedbank UK.,,,,,,,,Cannabiogen Seeds,80-100 cm,,,,False,html/d2a62d0c1274b79c.html,,2026-01-14T10:40:02.541409,,https://www.cannabis-seeds-bank.co.uk/advanced-seeds-zerealz-milk/prod_9202,,,,28.0,28.0,28.0,,,500-550 gr/m2,,,100.0,,550.0,,,,,,advanced,,Advanced,advanced,False,,,Zerealz Milk,Zerealz Milk,,,Zerealz Milk,Unknown,0.0,,,False,False,,,,,Unknown,Zerealz Milk,Unknown,unknown,Zerealz Milk,zerealz-milk,,,,,,,False,False,False,,,,,,,,,,1
42f488c1-cf2b-4750-9351-b190b0352607,attitude,The Plug,,,,,,,,,Top picks for best cannabis seeds breeders at the Attitude Seedbank UK. Shop for Zerbert Smoothie Cannabis Seeds by The Plug Seedbank.,,,,,,,,Cannabiogen Seeds,,,,,False,html/9f46ef5f20548e52.html,,2026-01-14T10:40:02.759958,,https://www.cannabis-seeds-bank.co.uk/the-plug-seedbank-zerbert-smoothie/prod_8899,,,,,,,,,,,,,,,,,,,,the plug,,The Plug,theplug,False,,,Zerbert Smoothie,Zerbert Smoothie,,,Zerbert Smoothie,Unknown,0.0,,,False,False,,,,,Unknown,Zerbert Smoothie,Unknown,unknown,Zerbert Smoothie,zerbert-smoothie,,,,,,,False,False,False,,,,,,,,,,1
421bbc3c-d91f-477d-a610-c380427640dd,attitude,Eleven Thirty Genetics Zerbert,,,0.1,,,,,,"Meet Zerbert (Auto), an indica-dominant powerhouse that blends some of the most iconic genetics in modern cannabis: Gelato 41 x Grape Kush x Zkittlez x Ruderalis. This auto-flowering strain is your go-to for bold flavour, balanced effects, and reliable performance indoors or outdoors.",,,,,,,,Zerbert Auto | Attitude Seedbank UK,,,,,False,html/e1a78a3b61fe6239.html,,2026-01-14T10:40:02.982483,,https://www.cannabis-seeds-bank.co.uk/eleven-thirty-genetics-zerbert-auto/prod_9762,,,,19.0,19.0,19.0,,,,,,,,,,,,,,eleven thirty genetics zerbert,,Eleven Thirty Genetics Zerbert,eleventhirtygeneticszerbert,True,,,Zerbert Auto,Zerbert Auto,,,Zerbert Auto,Unknown,0.0,,,False,False,,,,,Unknown,Zerbert Auto,Unknown,unknown,Zerbert Auto,zerbert-auto,,,,,"Meet Zerbert (Auto), an indica-dominant powerhouse that blends some of the most iconic genetics in modern cannabis: Gelato 41",Grape Kush x Zkittlez x Ruderalis,False,True,True,meet-zerbert-auto-an-indica-dominant-powerhouse-that-blends-some-of-the-most-iconic-genetics-in-modern-cannabis-gelato-41,grape-kush-x-zkittlez-x-ruderalis,Grape Kush,Zkittlez,Ruderalis,grape-kush,zkittlez,ruderalis,meet-zerbert-auto-an-indica-dominant-powerhouse-that-blends-some-of-the-most-iconic-genetics-in-modern-cannabis-gelato-41 x grape-kush-x-zkittlez-x-ruderalis,2
dad691b7-e01f-4d36-ab22-f1ea11752a60,attitude,Eleven Thirty Genetics Zerbert,,,0.1,,,,,,"Discover Zerbert cannabis seeds by Eleven Thirty Genetics ÃÂ¢ÃÂÃÂ an indica-dominant hybrid with Gelato 41, Grape Kush, and Zkittlez lineage. Bursting with grape cream and candy-sweet terps.
",,,,,,,,| Flavor-Packed Indica Hybrid,,,,,False,html/2da174fe2928a065.html,,2026-01-14T10:40:03.194596,,https://www.cannabis-seeds-bank.co.uk/eleven-thirty-genetics-zerbert/prod_9761,,,,20.0,20.0,20.0,,,,,,,,,,,,,,eleven thirty genetics zerbert,,Eleven Thirty Genetics Zerbert,eleventhirtygeneticszerbert,False,,,Zerbert,Zerbert,,,Zerbert,Unknown,0.0,,,False,False,,,,,Unknown,Zerbert,Unknown,unknown,Zerbert,zerbert,,,,,,,False,False,False,,,,,,,,,,1
552cf0ad-33d2-45c4-b7da-1c0c0437f96f,attitude,Grounded Genetics Zerberry,,,,,,,,,High-grade cannabis seeds for sale at the Attitude Seedbank UK. Shop for Zerberry  Cannabis Seeds By Grounded Genetics. Secure shopping & fast checkout.,,,,,,,,Zerberry | Attitude Seedbank UK,,,,,False,html/b86a154c2f3d72f5.html,,2026-01-14T10:40:03.400409,,https://www.cannabis-seeds-bank.co.uk/grounded-genetics-zerberry/prod_8630,,,,,,,,,,,,,,,,,,,,grounded genetics zerberry,,Grounded Genetics Zerberry,groundedgeneticszerberry,False,,,Zerberry,Zerberry,,,Zerberry,Unknown,0.0,,,False,False,,,,,Unknown,Zerberry,Unknown,unknown,Zerberry,zerberry,,,,,,,False,False,False,,,,,,,,,,1
c420d4f3-fdd3-4fd5-a0bf-55ca13d60566,attitude,Ministry of,,,,,,,,,Ministry of Cannabis Zensation is now available to buy at the Attitude Seed Bank. These great souvenirs can be purchased online or over the phone. We also offer worldwide guaranteed shipping and excellent offers and discounts.,,Sativa,,,,,,Cannabiogen Seeds,,,,25.0,False,html/97a55de88c0024a6.html,75.0,2026-01-14T10:40:03.628230,,https://www.cannabis-seeds-bank.co.uk/ministry-of-cannabis-zensation/prod_2410,,,22.0,,24.0,20.0,20-24%,,,,,,,,,,,,,ministry of,,Ministry of,ministryof,False,,,Zensation,Zensation,,,Zensation,Unknown,0.0,,,False,False,,,,,Unknown,Zensation,Unknown,unknown,Zensation,zensation,,,,,,,False,False,False,,,,,,,,,,1
43ebbb58-92e4-45e1-a26d-4aad4bf1996f,attitude,The World's Largest,,,,,,,,,Zendu Kush Seeds by T H Seeds x Massive Creations Seeds are now for sale at the Attitude. Check out their entire cannabis seed range today!,,Sativa,,,,,,Cannabiogen Seeds,,,,40.0,False,html/62bc8220528152bf.html,60.0,2026-01-14T10:40:03.837673,,https://www.cannabis-seeds-bank.co.uk/t-h-seeds-x-massive-creations-seeds-zendu-kush/prod_6778,,,,,,,,,,,,,,,,,,,,the world's largest,,The World's Largest,theworldslargest,False,,,T H Seeds X Massive Creations Seeds Zendu Kush,T H Seeds X Massive Creations Seeds Zendu Kush,,,T H Seeds X Massive Creations Seeds Zendu Kush,Unknown,0.0,,,False,False,,,,,Unknown,T H Seeds X Massive Creations Seeds Zendu Kush,Unknown,unknown,T H Seeds x Massive Creations Seeds Zendu Kush,t-h-seeds-x-massive-creations-seeds-zendu-kush,,,,,Zendu Kush Seeds by T H Seeds,Massive Creations Seeds are now for sale at the Attitude,False,False,False,zendu-kush-seeds-by-t-h-seeds,massive-creations-seeds-are-now-for-sale-at-the-attitude,,,,,,,zendu-kush-seeds-by-t-h-seeds x massive-creations-seeds-are-now-for-sale-at-the-attitude,1
