strain_id,source_url_raw,strain_name_from_source_url,strain_name_raw,strain_name_display,version,version_og,aka_strain_names,aka_strain_name_og,seed_bank_display,breeder_displayl,s3_html_key_raw,scraped_at_raw,notes_manual,parent_1_display,parent_2_display,parent_1_slug,parent_2_slug,grandparent_1_display,grandparent_2_display,grandparent_3_display,grandparent_1_slug,grandparent_2_slug,grandparent_3_slug,lineage_formula,lineage_depth,generation_clean,filial_generation,selfed_generation,backcross_generation,genetics_type_clean,indica_percentage_clean,sativa_percentage_clean,is_autoflower_clean,seed_type_raw_x,thc_min_raw,thc_max_raw,thc_content_raw,cbd_min_raw,cbd_max_raw,cbd_content_raw,cbn_content_raw,flowering_time_days_clean,height_indoor_cm_clean,height_outdoor_cm_clean,yield_indoor_g_m2_clean,yield_outdoor_g_plant_clean,effects_all_raw,flavors_all_raw,terpenes_raw_x,climate_raw,difficulty_raw,strain_name_slug,is_fast_flowering,is_regular_flowering,is_feminized_flowering,is_auto_flowering,thc_raw,yield_raw,flowering_raw,thc_min,thc_max,thc_avg,cbd_min,cbd_max,cbd_avg,flowering_days_min,flowering_days_max,flowering_days_avg,height_indoor_cm_min,height_indoor_cm_max,height_outdoor_cm_min,height_outdoor_cm_max,yield_indoor_g_m2_min,yield_indoor_g_m2_max,yield_outdoor_g_plant_min,yield_outdoor_g_plant_max,yield_indoor_raw,yield_outdoor_raw,flowering_time_raw,outdoor_harvest_raw,height_indoor_raw,height_outdoor_raw,cbd_raw,genetics_raw,category_type_raw,harvest_time_raw,terpenes_raw_y,height_raw,lineage_raw,seed_type_raw_y,growth_type_raw,strain_type_raw,terpene_profile_raw,flavor_profile_raw
2b38e7e8-a814-4621-bc39-289570f6d115,https://herbiesheadshop.com/cannabis-seeds/mac-1-auto-dutch-passion,Mac 1 Auto Dutch Passion,Mac 1 Auto Dutch Passion,Mac,,1,,,Herbies Seeds,Dutch Passion,html/fbfadd54de797bf3.html,1/14/2026,,Miracle Alien Cookies,Auto Think Different,miracle-alien-cookies,auto-think-different,,,,,,,miracle-alien-cookies x auto-think-different,1,,,,,,,,TRUE,,,,99.01,,,99.01,,,,,,,relaxed,sweet,,,,mac-1,FALSE,FALSE,FALSE,TRUE,20 - 25%,,70 - 84 days,20,25,22.5,,,,70,84,77,,,,,,,,,,,,,,,,,,,,,,,,,,
30a5eb1c-c1eb-4212-b506-68b1618f04d1,https://www.cropkingseeds.com/feminized-seeds/skunk-1-marijuana-seeds/,Skunk 1 Marijuana Seeds,Skunk#1,Skunk,,1,,,Crop King Seeds,Crop King Seeds,html/5330d8173c9c202f.html,2026-01-13T11:27:56.010274,,Afghani,Acapulco Gold,afghani,acapulco-gold,,,,,,,afghani x acapulco-gold,1,,,,,Sativa Dominant,35,65,FALSE,,18,22,17%,0.26,0.48,0.20%,,70,243.84,243.84,400,500,,"Citrus, Pungent, Skunky, Sweet","Limonene, Ocimene, Phellandrene, Pinene, Sabinene",,,skunk-1,FALSE,FALSE,TRUE,FALSE,17%,,,17,17,17,0.2,0.2,0.2,56,70,63,152.4,243.84,152.4,243.84,2,400,500,500,400g/m2,500g/plant,8-10 weeks,,Medium (5 to 8 FT),Medium (5 to 8 FT),0.20%,Afghani x Acapulco Gold x Colombian Gold,Indica Dominant Hybrid,October,"Limonene, Ocimene, Phellandrene, Pinene, Sabinene",,,,,,,
42709909-c9f5-497d-bc8e-389feac36627,https://www.gorilla-cannabis-seeds.co.uk/royalqueenseeds/autoflowering/special-queen-1-auto.html,Special Queen 1 Auto,Special Queen 1 Auto,Special Queen,,1,,,Gorilla Cannabis Seeds,Royal Queen Seeds,html/d9ab8bea4f5a1ac3.html,1/14/2026,,sweet,skunky aromas,sweet,skunky-aromas,,,,,,,sweet x skunky-aromas,1,,,,,,,,TRUE,,,,18,,,,,,,,,,relaxing,,,,,special-queen-1,FALSE,FALSE,FALSE,TRUE,18%,,Yes,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4783c009-dca2-40a9-81dd-fa8ad1417913,https://mephistogenetics.com/products/kiwi-lime-1,Kiwi Lime 1,Kiwi Lime 1,Kiwi Lime,,1,,,Mephisto Genetics,Mephisto Genetics,html/29d3ea366af3d7cd.html,2026-01-12T17:19:48.508049,,Lime One (clone only),Creme de la Chem),lime-one-clone-only,creme-de-la-chem,,,,,,,,1,,,,,,,,FALSE,,,,,,,,,,,,,,,fuel,,,,kiwi-lime,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ba437fb-c5d6-47ab-b4f4-f7a220c3948a,https://www.gorilla-cannabis-seeds.co.uk/bulk-cannabis-seeds/feminized/skunk-1.html,Skunk 1,Skunk #1,Skunk,,1,,,Gorilla Cannabis Seeds,Perfect Tree Seeds,html/80167f9486988358.html,1/14/2026,,,,,,,,,,,,,1,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,skunk-1,FALSE,FALSE,TRUE,FALSE,Very High,Very High,Late October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511cf750-bbf3-4a43-9f72-5ad9c2b0b474,https://www.gorilla-cannabis-seeds.co.uk/royalqueenseeds/feminized/skunk-1.html,Skunk 1,Skunk #1,Skunk,,1,,,Gorilla Cannabis Seeds,Royal Queen Seeds,html/913ca9d32eef400c.html,1/14/2026,,Columbian x Mexican,Afghani,columbian-x-mexican,afghani,,,,,,,columbian-x-mexican x afghani,1,,,,,,,,FALSE,,,,,,,,,,,,,,happy,Pungent,,,,skunk-1,FALSE,FALSE,TRUE,FALSE,15%,650 to 700 gr/seed,October,15,15,15,,,,,,,60,200,,,650,700,,,,,,,,,,,,,,"60 to 100 cm Indoors, 160 to 200 cm Outdoors",,,,,,
53990fff-0883-426b-969d-8b08782be62d,https://dutch-passion.us/cannabis-seeds/skunk-1,Skunk 1,Skunk #1,Skunk,,1,,,Dutch Passion,Dutch Passion,html/298d6cc032bc1fb9.html,2026-01-12T12:55:44.220256,,,,,,,,,,,,,1,,,,,Sativa Dominant,25,75,FALSE,,0.3,0.3,0.3,,,,,,,,,,,earthy,,,,skunk-1,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5696cd0c-6395-42b2-96fa-2d76f0c1c432,https://www.gorilla-cannabis-seeds.co.uk/sensiseeds/autoflowering/skunk-1-auto.html,Skunk 1 Auto,Skunk #1 Auto,Skunk,,1,,,Gorilla Cannabis Seeds,Sensi Seeds,html/88f12008f4a5b09c.html,1/14/2026,,Skunk #1,Ruderalis,skunk-1,ruderalis,,,,,,,skunk-1 x ruderalis,1,,,,,,,,TRUE,,,,,,,,,,,,,,,Sweet & Pungent,,,,skunk-1,FALSE,FALSE,FALSE,TRUE,,Average,45 to 55 Days of Bloom,,,,,,,45,55,50,,,,,,,,,,,,,,,,,,,,short,,,,,,
5aef0d2e-8418-4632-8e22-991e61d19807,https://www.cropkingseeds.com/feminized-seeds/mac-1-strain-feminized-marijuana-seeds/,Mac 1 Strain Feminized Marijuana Seeds,Mac 1 Strain,Mac,,1,,,Crop King Seeds,Crop King Seeds,html/1fed436e94d76a2a.html,2026-01-13T11:23:31.396179,,Alien Cookies F2,Miracle 15,alien-cookies-f2,miracle-15,,,,,,,alien-cookies-f2 x miracle-15,1,,,,,,,,FALSE,,20,23,23% to 30%,0.2,1,low CBD,,70,121.92,121.92,,,,,,,,mac-1,FALSE,FALSE,TRUE,FALSE,23% to 30%,,,23,30,26.5,,,,63,70,66.5,0,121.92,0,121.92,6,8,18,18,6-8 ounces,18 ounces,9-10 weeks,,Small (0-4 FT),Small (0-4 FT),low CBD,Alien Cookies F2 and Miracle 15,Balanced Hybrid,Early October,,,,,,,,
6e463ece-4807-45cc-91cc-89facf3bd1e7,https://herbiesheadshop.com/cannabis-seeds/skunk-1-automatic,Skunk 1 Automatic,Skunk 1 Automatic,Skunk,,1,,,Herbies Seeds,Sensi Seeds,html/0a4ae90892ca75bc.html,1/14/2026,,Skunk #1,Ruderalis,skunk-1,ruderalis,,,,,,,skunk-1 x ruderalis,1,,,,,Indica Dominant,90,10,TRUE,,,,99.2,,,99.2,,,,,,,,sweet,,,,skunk-1,FALSE,FALSE,FALSE,FALSE,,,45 - 55 days,,,,,,,45,55,50,,,,,,,,,,,,,,,,,,,,,,,,,,
