strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
4627adc3-b32d-4353-9355-bbe56ab284ff,neptune,Katsu,,Katsu Seeds,,,,,,,"WiFi43 x Chocolate Trip strain cannabis seeds by Katsu Seeds deliver rich chocolate-fuel terps, heavy frost, and relaxing hybrid effects",Easy,,,"spicy, pepper",60-65 weeks,,,,,,,,True,html/47ca1fbcbadcc932.html,,2026-01-12T15:17:41.411141,,https://neptuneseedbank.com/product/wifi43-x-chocolate-trip-strain/,,,,0.03,0.03,0.03,,,,,Katsu Seeds
40dcad7c-a433-42bb-8a9d-157a67bda95b,neptune,Red Eye Genetics Ã¢ÂÂ Wicked Glue,,Red Eye Genetics,,,,,,,Red Eye Genetics - Wicked Glue . 10 Regular Seeds Lineage: Clementine x Tripoli Wicked x Locktite,,,,,,,,,,,,,False,html/3d521db40bd1f5bf.html,,2026-01-12T15:17:41.606983,,https://neptuneseedbank.com/product/red-eye-genetics-wicked-glue/,,,,0.03,0.03,0.03,,,,,Red Eye Genetics
78eb501d-c373-4ee3-9daf-543aae279d08,neptune,Massive,,Massive Creations,,,,,,,Massive Seeds - White Zkittley Runtz . 10 Regular Seeds Lineage: White Runtz x Zkittley Woah!,,,,,,,,,,,,,True,html/911e1d464d0b2328.html,,2026-01-12T15:17:41.835084,,https://neptuneseedbank.com/product/massive-seeds-white-zkittley-runtz/,,,,0.03,0.03,0.03,,,,,Massive Creations
72aab808-6eaa-4b2c-a3c4-2a0edee45e7f,neptune,Katsu,,Katsu Seeds,,,,,,,"White Widow x Sensi Star strain cannabis seeds by Katsu Seeds deliver old-school hash flavor, heavy frost, and relaxing indica effects",Easy,,,"spicy, pepper",60-65 weeks,,,,,,,,True,html/53d69faca5e79ca7.html,,2026-01-12T15:17:42.040771,,https://neptuneseedbank.com/product/white-widow-x-sensi-star-strain/,,,,0.03,0.03,0.03,,,,,Katsu Seeds
7f8d9ce7-f879-495e-9b01-499ff0dcf8d6,neptune,Royal Queen,,Royal Queen Seeds,,,,,,,Royal Queen Seeds - White Widow (F) 3pack. 3 (F) Lineage: White Widow S1,,,,,,,,,,,,,True,html/d250455a163a348b.html,,2026-01-12T15:17:42.258715,,https://neptuneseedbank.com/product/royal-queen-seeds-white-widow-f-3pack/,,,,0.03,0.03,0.03,,,,,Royal Queen Seeds
c06a5b1b-988d-40b8-9a60-2bc892777b66,neptune,Royal Queen,,Royal Queen Seeds,,,,,,,Royal Queen Seeds - White Widow (F) 5pack. 5 (F) Lineage: White Widow S1,,,,,,,,,,,,,True,html/fdcc62119d2af6fc.html,,2026-01-12T15:17:42.450587,,https://neptuneseedbank.com/product/royal-queen-seeds-white-widow-f-5pack/,,,,0.03,0.03,0.03,,,,,Royal Queen Seeds
50a655fc-cbb0-4788-bcf1-b7378af0c68b,neptune,Way2Heady Ã¢ÂÂ White Truffles x White Runtz (F),,Way2Heady,,,,,,,"White Truffles x White Runtz Strain Seeds by Way2Heady delivers gassy sweetness, thick resin, and deeply calming effects. 6 Pack Fems Available Now",,,,,,,,,,,,,True,html/3535848915e27a6d.html,,2026-01-12T15:17:42.634623,,https://neptuneseedbank.com/product/white-truffles-x-white-runtz-strain-seeds/,,,,0.03,0.03,0.03,,,,,Way2Heady
25b8494e-d390-439e-819a-1768e6e60d8c,neptune,Way2Heady Ã¢ÂÂ White Runtz x Sherbacio (F),,Way2Heady,,,,,,,"White Runtz x Sherbacio Strain Seeds by Way2Heady delivers creamy fruit terps, dense trichomes, and smooth hybrid effects. Feminized 6-pack Avaliable now",,,,,,,,,,,,,True,html/18e51ece29d635a9.html,,2026-01-12T15:17:42.838129,,https://neptuneseedbank.com/product/white-runtz-x-sherbacio-strain-seeds/,,,,0.03,0.03,0.03,,,,,Way2Heady
9ffc723b-0614-414e-ac7e-a6c6069a4da4,neptune,Raw Genetics Ã¢ÂÂ White Runtz x Pirates Milk,,Raw Genetics,,,,,,,Raw Genetics - White Runtz x Pirates Milk . 10 Regular Seeds Lineage: White Runtz x Pirates Milk,,,,,,,,,,,,,True,html/d651baa2fe38a549.html,,2026-01-12T15:17:43.041255,,https://neptuneseedbank.com/product/raw-genetics-white-runtz-x-pirates-milk/,,,,0.03,0.03,0.03,,,,,Raw Genetics
97018e6f-0f23-443b-9b14-954696bbeefa,neptune,Diamond Rock Genetics Ã¢ÂÂ White Runtz x Bubble Gum Marker,,Diamond Rock Genetics,,,,,,,Diamond Rock Genetics - White Runtz x Bubble Gum Marker. 6 (F) Lineage: White Runtz x Bubble Gum Marker,,,,,,,,,,,,,True,html/f885fdd253344819.html,,2026-01-12T15:17:43.222638,,https://neptuneseedbank.com/product/diamond-rock-genetics-white-runtz-x-bubble-gum-marker/,,,,0.03,0.03,0.03,,,,,Diamond Rock Genetics
