strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
327a110a-37ad-43d1-ab4e-2a231a6347e0,herbies,Power Plant Herbies Seeds Usa,,,98.29,,,,,,,,,happy,sweet,,,,African   Show all Show less     Power Plant Strain Reviews     No reviews yet. Be the first to leav,51.2,51.2,,,,html/0c17add61034d504.html,,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/power-plant-herbies-seeds-usa,"Outdoor, Indoor",,,98.29,,,,,2.3,28.2,Herbies Seeds
ea36136a-2fd2-4706-9b1c-0bcd118af0eb,herbies,Ghost Train Haze,,,99.01,,,,,,,,,happy,sweet,56-70 days,,,Ghost OG x Neville's Wreck   Show all Show less     Ghost Train Haze Strain Reviews    4.9   8 revie,47.2,47.2,,,,html/0c2c6017e4f13d4c.html,,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/ghost-train-haze,"Outdoor, Indoor",,,99.01,,,,,2.0,28.2,Seedkeepers
5add7b79-7b23-4f68-a031-959b1feea768,herbies,Gelato 45 Barneys Farm,,,98.39,,,,,,,,,happy,sweet,,,,Sunset Sherbet x Thin Mint Girl Scout Cookies   Show all Show less     Gelato #45 Strain Reviews,47.2,98.4,,60.0,,html/0d82232ea1ed14e7.html,40.0,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/gelato-45-barneys-farm,"Outdoor, Indoor",,,98.39,,,,,2.3,70.5,Barney's Farm
74a1ba7b-b9bd-49b1-af76-37d4a49a331f,herbies,Skywalker Og Herbies Seeds Usa,,,98.29,,,,,,,,,uplifting,berry,56-70 days,,,Blueberry x Mazar x OG Kush   Show all Show less     Skywalker OG Strain Reviews     No reviews yet.,,,,,,html/0db86dff13db014d.html,,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/skywalker-og-herbies-seeds-usa,"Outdoor, Indoor",,,98.29,,,,,1.5,14.1,Herbies Seeds
7d1db5e6-5f1f-49d6-bdaf-1be06e907073,herbies,Grandaddy Banner Alphafem Seeds,,,99.34,,,,,,,,,happy,berry,56-63 days,,,Grandaddy Purple x Bruce Banner Alpha   Show all Show less     Grandaddy Banner Strain Reviews    4.,59.1,59.1,,,,html/0e30d9a73acf7d0c.html,,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/grandaddy-banner-alphafem-seeds,"Outdoor, Indoor",,,99.34,,,,,2.0,17.6,AlphaFem Seeds
8352f5bf-e322-4007-8b80-11730c2c8f63,herbies,Smoothie Auto,,,97.71,,,,,,,,,happy,berry,,,,Somango x Blueberry   Show all Show less     Smoothie Auto Strain Reviews    5.0   10 reviews      R,43.3,43.3,,65.0,,html/0ef3d19729abb2f8.html,35.0,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/smoothie-auto,"Outdoor, Indoor",,,97.71,,,,70 days,1.8,8.8,Fast Buds
1ce8365d-b815-410d-973b-c51a45a8a180,herbies,Og Kush Herbies Seeds Usa,,,98.29,,,,,,,,,happy,sweet,56-63 days,,,Hindu Kush   Show all Show less     OG Kush Strain Reviews    4.9   19 reviews      Rate the strain,59.1,66.9,,70.0,,html/0f0a000fbe3f10e2.html,30.0,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/og-kush-herbies-seeds-usa,"Outdoor, Indoor",,,98.29,,,,,1.6,24.7,Herbies Seeds
979fda39-3370-4464-9b8d-301f9f5a4e2d,herbies,Blueberry Hill Herbies Seeds,,,98.29,,,,,,,,,happy,berry,50-55 days,,,Blueberry x Afghan   Show all Show less     Blueberry Hill Strain Reviews    4.9   46 reviews      R,47.2,,,95.0,,html/0f559bc14d31e8df.html,5.0,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/blueberry-hill-herbies-seeds,"Outdoor, Indoor",,,98.29,,,,,2.1,63.5,Herbies Seeds
9e43e94b-2c41-4f24-bdef-7757147617a2,herbies,Godzilla Original Glue Gg 4,,,98.29,,,,,,,,,relaxed,citrus,55-65 days,,,Chem Sis x Sour Diesel x Chocolate Thai   Show all Show less     Godzilla Original Glue GG#4 Strain,59.1,66.9,,50.0,,html/0f6e649760eded8c.html,50.0,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/godzilla-original-glue-gg-4,"Outdoor, Indoor",,,98.29,,,,,2.6,42.3,Herbies Seeds
065ea4de-3e42-4130-97c3-675eb32e61eb,herbies,Oh My Gusher Auto Dutch Passion,2nd prize in the Indica category - Spannabis 2024,,99.01,,,,,,,,,relaxed,sweet,70-84 days,,,(Gusher: Triangle Kush x Gelato) x Auto Brooklyn Sunrise     Awards   2nd prize in the Indica catego,,,,,,html/0f8ff671628eb87e.html,,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/oh-my-gusher-auto-dutch-passion,"Outdoor, Indoor, Greenhouse",,,99.01,,,,70 - 84 days,1.6,5.3,Dutch Passion
